Results from FLAKE simulations.
 No     time         Ts            Tm            Tb            ufr_a         ufr_w         Wconv         Qw            Q_se          Q_la          I_w           Q_lwa         Q_lww         h_ML          C_T           H_B1          T_B1          Qbot          H_ice         H_snow        T_ice         T_snow   
       34   1.41667       4.79897       4.74709       4.51616      0.278058      0.982806E-02   0.00000      -95.8155      -7.92897      -56.2654       626.176       0.00000      -335.026       8.15374      0.551286      0.135883       4.66095      -1.16358       0.00000       0.00000       0.00000       0.00000    
       35   1.45833       4.83928       4.78404       4.52260      0.264861      0.936089E-02   0.00000      -69.6116       9.37895      -50.6677       713.466       0.00000      -335.220       8.40529      0.558783      0.945843E-01   4.66937      -1.69444       0.00000       0.00000       0.00000       0.00000    
       36   1.50000       4.88857       4.82895       4.52973      0.253528      0.895951E-02   0.00000      -51.0118       25.9164      -45.4242       724.469       0.00000      -335.458       8.63123      0.565738      0.471652E-01   4.67907      -3.45773       0.00000       0.00000       0.00000       0.00000    
       37   1.54167       4.94002       4.87604       4.53659      0.240468      0.849712E-02   0.00000      -13.4376       32.3910      -44.1524       672.370       0.00000      -335.707       8.83326      0.572170      0.885469E-01   4.67056      -1.65220       0.00000       0.00000       0.00000       0.00000    
       38   1.58333       4.98995       4.92202       4.54277      0.228534      0.807468E-02   0.00000      -1.36988       38.5319      -42.8119       596.745       0.00000      -335.948       9.00878      0.578005      0.401745E-01   4.68047      -3.74295       0.00000       0.00000       0.00000       0.00000    
       39   1.62500       5.03484       4.96373       4.54804       0.00000      0.102918E-03   0.00000       18.4840      0.631303E-01 -0.622573E-01   435.632       0.00000      -336.165       9.15991      0.583329      0.850294E-01   4.67124      -1.58216       0.00000       0.00000       0.00000       0.00000    
       40   1.66667       5.17059       4.99547       4.54804       0.00000      0.943418E-04   0.00000       4.33758      0.506058E-01 -0.632012E-01   314.838       0.00000      -336.821       6.32697      0.583328      0.573523E-01   4.67691      -2.45364       0.00000       0.00000       0.00000       0.00000    
       41   1.70833       5.29159       5.01786       4.54804       0.00000      0.849359E-04   0.00000       46.0391      0.383002E-01 -0.639659E-01   188.024       0.00000      -337.407       4.50789      0.583328      0.943678E-01   4.66931      -1.40321       0.00000       0.00000       0.00000       0.00000    
       42   1.75000       5.39323       5.03428       4.54804       0.00000      0.746185E-04   0.00000       81.2510      0.264121E-01 -0.644538E-01   25.0951       0.00000      -337.900       3.32295      0.583328      0.941455E-01   4.66935      -1.40705       0.00000       0.00000       0.00000       0.00000    
       43   1.79167       5.46578       5.04182       4.54804      0.933176E-01  0.329414E-02   0.00000       14.9796       3.10350      -22.5853       0.00000       0.00000      -338.253       2.54252      0.583327      0.113739       4.66534      -1.12617       0.00000       0.00000       0.00000       0.00000    
       44   1.83333       5.46164       5.04295       4.54783      0.894023E-01  0.315595E-02   0.00000       40.6540      -2.12943      -23.3130       0.00000       0.00000      -338.232       2.62341      0.583431      0.131274       4.66176     -0.947711       0.00000       0.00000       0.00000       0.00000    
       45   1.87500       5.46124       5.04587       4.54784      0.849273E-01  0.299798E-02   0.00000       169.994      -6.89903      -23.7262       0.00000       0.00000      -338.230       2.69671      0.583527      0.145835       4.65879     -0.830780       0.00000       0.00000       0.00000       0.00000    
       46   1.91667       5.47775       5.05785       4.54886      0.838151E-01  0.295863E-02   0.00000       105.136      -10.9313      -24.4194       0.00000       0.00000      -338.311       2.75495      0.583615      0.159250       4.65606     -0.735082       0.00000       0.00000       0.00000       0.00000    
       47   1.95833       5.48613       5.06528       4.54939      0.834224E-01  0.294472E-02   0.00000       10.5434      -14.9788      -25.2813       0.00000       0.00000      -338.351       2.81426      0.583701      0.170735       4.65372     -0.667301       0.00000       0.00000       0.00000       0.00000    
       48   2.00000       5.48263       5.06606       4.54921      0.845423E-01  0.298427E-02  0.138274E-02  -15.8529      -19.3338      -26.6038       0.00000       0.00000      -338.334       2.87820      0.583786      0.180441       4.65175     -0.620552       0.00000       0.00000       0.00000       0.00000    
       49   2.04167       5.47718       5.06499       4.54892      0.759521E-01  0.268107E-02  0.161263E-02  -24.8214      -18.5228      -23.8816       0.00000       0.00000      -338.308       2.92660      0.583874      0.189221       4.64997     -0.583165       0.00000       0.00000       0.00000       0.00000    
       50   2.08333       5.46881       5.06329       4.54845      0.676197E-01  0.238698E-02  0.138282E-02  -15.3552      -17.4122      -21.1776       0.00000       0.00000      -338.267       2.99960      0.583946      0.197157       4.64836     -0.553389       0.00000       0.00000       0.00000       0.00000    
       51   2.12500       5.46373       5.06226       4.54817      0.610453E-01  0.215492E-02   0.00000       53.5663      -18.5863      -21.4950       0.00000       0.00000      -338.243       3.04450      0.584005      0.204767       4.64682     -0.526093       0.00000       0.00000       0.00000       0.00000    
       52   2.16667       5.46829       5.06605       4.54846      0.593820E-01  0.209619E-02  0.485671E-03 -0.650117      -19.5202      -21.4398       0.00000       0.00000      -338.265       3.07051      0.584053      0.212542       4.64525     -0.497298       0.00000       0.00000       0.00000       0.00000    
       53   2.20833       5.46808       5.06604       4.54846      0.576324E-01  0.203443E-02  0.152609E-02  -20.1521      -20.4443      -21.3500       0.00000       0.00000      -338.264       3.07366      0.584098      0.219545       4.64383     -0.474376       0.00000       0.00000       0.00000       0.00000    
