datetime,Flow_metersCubedPerSecond,Water_Temperature_celsius,Salinity_practicalSalinityUnits
2020-09-14 00:00:00,133,18.92916667,0
2020-09-15 00:00:00,92.3,18.52083333,0
2020-09-16 00:00:00,119,18.81666667,0
2020-09-17 00:00:00,98.5,18.9625,0
2020-09-18 00:00:00,90,18.76666667,0
2020-09-19 00:00:00,85.2,18.3875,0
2020-09-20 00:00:00,86.4,18.09583333,0
2020-09-21 00:00:00,86.7,17.9625,0
2020-09-22 00:00:00,92.5,18.6625,0
2020-09-23 00:00:00,84.1,19.32083333,0
2020-09-24 00:00:00,83.8,18.65416667,0
2020-09-25 00:00:00,75.1,18.275,0
2020-09-26 00:00:00,74.7,18.4125,0
2020-09-27 00:00:00,112,18.70833333,0
2020-09-28 00:00:00,96.1,18.31666667,0
2020-09-29 00:00:00,89.9,17.74583333,0
2020-09-30 00:00:00,92.2,17.33333333,0
2020-10-01 00:00:00,93,16.8125,0
2020-10-02 00:00:00,86.6,16.575,0
2020-10-03 00:00:00,85.3,16.09583333,0
2020-10-04 00:00:00,86.4,15.73333333,0
2020-10-05 00:00:00,53.3,15.4,0
2020-10-06 00:00:00,103,15.22083333,0
2020-10-07 00:00:00,99.8,15.18333333,0
2020-10-08 00:00:00,79.6,15.70416667,0
2020-10-09 00:00:00,64.7,15.28333333,0
2020-10-10 00:00:00,105,15.5125,0
2020-10-11 00:00:00,77.5,15.17916667,0
2020-10-12 00:00:00,78.4,15.0625,0
2020-10-13 00:00:00,87.7,14.78333333,0
2020-10-14 00:00:00,64.5,14.63333333,0
2020-10-15 00:00:00,109,14.30416667,0
2020-10-16 00:00:00,76.8,13.93333333,0
2020-10-17 00:00:00,70.8,13.44166667,0
2020-10-18 00:00:00,115,13.225,0
2020-10-19 00:00:00,81.4,12.875,0
2020-10-20 00:00:00,82.2,12.4375,0
2020-10-21 00:00:00,85,12.45416667,0
2020-10-22 00:00:00,111,12.26666667,0
2020-10-23 00:00:00,297,11.97083333,0
2020-10-24 00:00:00,435,11.6375,0
2020-10-25 00:00:00,286,11.24583333,0
2020-10-26 00:00:00,146,10.86666667,0
2020-10-27 00:00:00,98.5,10.75833333,0
2020-10-28 00:00:00,116,10.3875,0
2020-10-29 00:00:00,114,10.0875,0
2020-10-30 00:00:00,90,9.8625,0
2020-10-31 00:00:00,69.5,9.6875,0
2020-11-01 00:00:00,128,9.4625,0
2020-11-02 00:00:00,87.3,8.9625,0
2020-11-03 00:00:00,93.4,8.891666667,0
2020-11-04 00:00:00,92.5,9.0875,0
2020-11-05 00:00:00,93.4,9.608333333,0
2020-11-06 00:00:00,81.6,9.65,0
2020-11-07 00:00:00,83.6,9.470833333,0
2020-11-08 00:00:00,97.2,9.566666667,0
2020-11-09 00:00:00,72.4,9.866666667,0
2020-11-10 00:00:00,59.7,9.9875,0
2020-11-11 00:00:00,237,9.808333333,0
2020-11-12 00:00:00,168,9.6375,0
2020-11-13 00:00:00,115,9.441666667,0
2020-11-14 00:00:00,98.5,9.070833333,0
2020-11-15 00:00:00,99.1,8.920833333,0
2020-11-16 00:00:00,147,8.458333333,0
2020-11-17 00:00:00,105,8.079166667,0
2020-11-18 00:00:00,56.3,7.85,0
2020-11-19 00:00:00,147,7.766666667,0
2020-11-20 00:00:00,114,7.670833333,0
2020-11-21 00:00:00,102,7.62,0
