datetime,Depth_meter,Water_Temperature_celsius
2020-05-28,0.5,19.3916666666667
2020-05-29,0.5,19.275
2020-05-30,0.5,18.6666666666667
2020-05-31,0.5,18.6
2020-06-01,0.5,17.8833333333333
2020-06-02,0.5,18.4083333333333
2020-06-03,0.5,19.6791666666667
2020-06-04,0.5,21.775
2020-06-05,0.5,22.4583333333333
2020-06-06,0.5,22.6583333333333
2020-06-07,0.5,21.3125
2020-06-08,0.5,21.175
2020-06-09,0.5,21.6291666666667
2020-06-10,0.5,20.8041666666667
2020-06-11,0.5,19.7041666666667
2020-06-12,0.5,20.2666666666667
2020-06-13,0.5,19.8375
2020-06-14,0.5,19.5208333333333
2020-06-15,0.5,19.5208333333333
2020-06-16,0.5,19.8833333333333
2020-06-17,0.5,20.8458333333333
2020-06-18,0.5,21.3125
2020-06-19,0.5,22.325
2020-06-20,0.5,23.2666666666667
2020-06-21,0.5,23.4625
2020-06-22,0.5,23.3625
2020-06-23,0.5,22.85
2020-06-24,0.5,22.5833333333333
2020-06-25,0.5,22.9166666666667
2020-06-26,0.5,23.1375
2020-06-27,0.5,23.25
2020-06-28,0.5,24.4458333333333
2020-06-29,0.5,23.5666666666667
2020-06-30,0.5,23.6041666666667
2020-07-01,0.5,24.3916666666667
2020-07-02,0.5,25.1583333333333
2020-07-03,0.5,27.3666666666667
2020-07-04,0.5,27.9583333333333
2020-07-05,0.5,28.9625
2020-07-06,0.5,29.4875
2020-07-07,0.5,29.6125
2020-07-08,0.5,28.3791666666667
2020-07-09,0.5,28.3208333333333
2020-07-10,0.5,27.2833333333333
2020-07-11,0.5,26.8208333333333
2020-07-12,0.5,26.6625
2020-07-13,0.5,26.875
2020-07-14,0.5,26.1833333333333
2020-07-15,0.5,25.7
2020-07-16,0.5,25.7875
2020-07-17,0.5,26.175
2020-07-18,0.5,25.7791666666667
2020-07-19,0.5,25.9875
2020-07-20,0.5,26.1166666666667
2020-07-21,0.5,25.9625
2020-07-22,0.5,25.6833333333333
2020-07-23,0.5,25.7583333333333
2020-07-24,0.5,26.1833333333333
2020-07-25,0.5,26.2416666666667
2020-07-26,0.5,26.3583333333333
2020-07-27,0.5,26.6208333333333
2020-07-28,0.5,26.325
2020-07-29,0.5,26.6083333333333
2020-07-30,0.5,26.75
2020-07-31,0.5,25.7625
2020-08-01,0.5,25.8708333333333
2020-08-02,0.5,25.7291666666667
2020-08-03,0.5,24.7916666666667
2020-08-04,0.5,24.0333333333333
2020-08-05,0.5,23.8541666666667
2020-08-06,0.5,24.1541666666667
2020-08-07,0.5,23.8541666666667
2020-08-08,0.5,23.9583333333333
2020-08-09,0.5,24.4833333333333
2020-08-10,0.5,24.3041666666667
2020-08-11,0.5,24.7875
2020-08-12,0.5,25.5791666666667
2020-08-13,0.5,24.5458333333333
2020-08-14,0.5,24.8041666666667
2020-08-15,0.5,24.6416666666667
2020-08-16,0.5,24.6083333333333
2020-08-17,0.5,24.775
2020-08-18,0.5,24.8291666666667
2020-08-19,0.5,25.1875
2020-08-20,0.5,24.6875
2020-08-21,0.5,24.6291666666667
2020-08-22,0.5,24.675
2020-08-23,0.5,24.8375
2020-08-24,0.5,26.225
2020-08-25,0.5,26.0625
2020-08-26,0.5,25.7142857142857
2020-08-27,0.5,25.7541666666667
2020-08-28,0.5,25.7791666666667
2020-08-29,0.5,25.3083333333333
2020-08-30,0.5,24.9833333333333
2020-08-31,0.5,24.0833333333333
2020-09-01,0.5,23.6458333333333
2020-09-02,0.5,23.3875
2020-09-03,0.5,23.1
2020-09-04,0.5,22.575
2020-09-05,0.5,22.425
2020-09-06,0.5,22.0583333333333
2020-09-07,0.5,21.6083333333333
2020-09-08,0.5,20.9625
2020-09-09,0.5,20.025
2020-09-10,0.5,19.0708333333333
2020-09-11,0.5,18.625
2020-09-12,0.5,18.3916666666667
2020-09-13,0.5,18.5291666666667
2020-09-14,0.5,18.9541666666667
2020-09-15,0.5,18.5416666666667
2020-09-16,0.5,18.825
2020-09-17,0.5,18.9791666666667
2020-09-18,0.5,18.775
2020-09-19,0.5,18.4083333333333
2020-09-20,0.5,18.1125
2020-09-21,0.5,17.9875
2020-09-22,0.5,18.3375
2020-09-23,0.5,19.0833333333333
2020-09-24,0.5,18.6625
2020-09-25,0.5,18.2916666666667
2020-09-26,0.5,18.4166666666667
2020-09-27,0.5,18.7083333333333
2020-09-28,0.5,18.3333333333333
2020-09-29,0.5,17.75
2020-09-30,0.5,17.3708333333333
2020-10-01,0.5,16.8458333333333
2020-10-02,0.5,16.55
2020-10-03,0.5,16.1208333333333
2020-10-04,0.5,15.7625
2020-10-05,0.5,15.4458333333333
2020-10-06,0.5,15.2083333333333
2020-10-07,0.5,15.1916666666667
2020-10-08,0.5,15.5625
2020-10-09,0.5,15.2833333333333
2020-10-10,0.5,15.4791666666667
2020-10-11,0.5,15.1958333333333
2020-10-12,0.5,15.0708333333333
2020-10-13,0.5,14.8083333333333
2020-10-14,0.5,14.6583333333333
