"Depth_Target","DateTime_Start","DateTime_End","Depthm","TempC","SpConduScm","ChlorophyllRFU","ChlorophyllugL","BGAPCRFU","BGAPCugL","TurbidityFNU","fDOMRFU","fDOMQSU","ODOsat","ODOmgL","pH","Presspsia","NITRATE_UM","NITRATE_MG","ABS_254","ABS_350","T_INT","T_SPEC","T_LAMP","NITRATE_UM_corrected","sampledate","NITRATE_uM_corrected","Dataset"
14,"2017-10-20 15:54:00","2017-10-20 15:55:00",13.9998666666667,15.8814166666667,538.023333333333,0.325166666666667,1.387,0.621166666666667,0.628833333333333,1.23833333333333,12.0726666666667,34.6538333333333,69.9933333333333,6.91383333333333,7.99,19.8955666666667,8.97,0.13,0.11,0.02,22.42,22.68,21.74,8.97,2017-10-20,8.97,"Quinn"
15,"2017-10-20 15:56:00","2017-10-20 15:57:00",14.9861833333333,15.8761833333333,538.206666666667,0.3065,1.31216666666667,0.610166666666667,0.617666666666667,1.23616666666667,12.0803333333333,34.678,68.635,6.77866666666667,7.98,21.2972833333333,8.814,0.12,0.11,0.02,22.22,22.34,21.6,8.814,2017-10-20,8.814,"Quinn"
16,"2017-10-20 15:58:00","2017-10-20 15:59:00",16.0823833333333,15.85945,538.75,0.269833333333333,1.1625,0.5705,0.575833333333333,1.05316666666667,12.1021666666667,34.7371666666667,67.21,6.6435,7.96,22.8552333333333,8.755,0.12,0.11,0.0216666666666667,22.0666666666667,22.0333333333333,21.5833333333333,8.755,2017-10-20,8.755,"Quinn"
17,"2017-10-20 16:00:00","2017-10-20 16:01:00",16.9895333333333,13.5350333333333,614.928333333333,0.178666666666667,0.794833333333333,0.253333333333333,0.2445,4.92316666666667,16.296,46.7601666666667,6.72166666666667,0.6985,7.076,24.1535,-124.501666666667,-1.74166666666667,0.17,0.03,21.8666666666667,21.7666666666667,21.1833333333333,0,2017-10-20,0,"Quinn"
18,"2017-10-20 16:02:00","2017-10-20 16:03:00",18.0235666666667,12.52425,630.551666666667,0.169,0.755666666666667,0.215333333333333,0.204833333333333,0.757666666666667,17.484,50.1633333333333,4.41166666666667,0.468666666666667,6.99,25.6272,-217.185,-3.04166666666667,0.196666666666667,0.0266666666666667,21.4666666666667,21.35,20.3666666666667,0,2017-10-20,0,"Quinn"
19,"2017-10-20 16:04:00","2017-10-20 16:05:00",19.0511166666667,12.4281833333333,631.836666666667,0.1555,0.7,0.221333333333333,0.211333333333333,0.7315,17.5636666666667,50.393,3.94,0.418666666666667,6.98983333333333,27.08855,-226.73,-3.17666666666667,0.2,0.03,20.8833333333333,20.8333333333333,19.6666666666667,0,2017-10-20,0,"Quinn"
20,"2017-10-20 16:07:00","2017-10-20 16:08:00",20.0271833333333,12.3939666666667,632.671666666667,0.164,0.737333333333333,0.212666666666667,0.201833333333333,0.722333333333333,17.5943333333333,50.4811666666667,3.64666666666667,0.3895,6.97683333333333,28.4767333333333,-227.868,-3.192,0.2,0.03,20.1,20.02,18.88,0,2017-10-20,0,"Quinn"
21,"2017-10-20 16:09:00","2017-10-20 16:10:00",21.0726166666667,12.33415,633.48,0.151,0.6855,0.215833333333333,0.205333333333333,0.619166666666667,17.64,50.6096666666667,3.50333333333333,0.38,6.97,29.9636166666667,-229.752,-3.218,0.2,0.03,19.7,19.58,18.6,0,2017-10-20,0,"Quinn"
22,"2017-10-20 16:11:00","2017-10-20 16:12:00",22.0857833333333,12.2081666666667,637.996666666667,0.163,0.733333333333333,0.227166666666667,0.2175,0.683833333333333,17.7646666666667,50.9686666666667,3.45666666666667,0.37,6.94283333333333,31.4047166666667,-237.473333333333,-3.32666666666667,0.21,0.03,19.3,19.15,18.3333333333333,0,2017-10-20,0,"Quinn"
0,"2017-10-29 15:35:00","2017-10-29 15:36:00",0.478083333333333,13.0935666666667,543.191666666667,0.410833333333333,1.73233333333333,0.643666666666667,0.652333333333333,1.35083333333333,13.0378333333333,37.4211666666667,62.4583333333333,6.5565,7.76,0.679683333333333,10.302,0.142,0.11,0.03,18.3,19.22,18.8,10.302,2017-10-29,10.302,"Quinn"
1,"2017-10-29 15:37:00","2017-10-29 15:38:00",0.982916666666667,13.0895666666667,543.285,0.430333333333333,1.81033333333333,0.622333333333333,0.629666666666667,1.28866666666667,13.0348333333333,37.4101666666667,62.49,6.55933333333333,7.76816666666667,1.39745,10.266,0.14,0.11,0.03,18.3,19,18.8,10.266,2017-10-29,10.266,"Quinn"
2,"2017-10-29 15:39:00","2017-10-29 15:40:00",2.0214,13.0911,543.29,0.414,1.745,0.695166666666667,0.706333333333333,1.40466666666667,13.0303333333333,37.398,62.4833333333333,6.55866666666667,7.76866666666667,2.87368333333333,10.225,0.14,0.11,0.03,18.2833333333333,18.8,18.8,10.225,2017-10-29,10.225,"Quinn"
3,"2017-10-29 15:41:00","2017-10-29 15:42:00",3.04521666666667,13.0849166666667,543.221666666667,0.405,1.70683333333333,0.681,0.6915,1.3365,13.0638333333333,37.4955,61.9883333333333,6.50866666666667,7.76,4.32936666666667,10.1816666666667,0.14,0.11,0.03,18.2666666666667,18.6,18.8,10.1816666666667,2017-10-29,10.1816666666667,"Quinn"
4,"2017-10-29 15:43:00","2017-10-29 15:44:00",4.02813333333333,13.0903166666667,543.225,0.401333333333333,1.69383333333333,0.6645,0.674,1.337,13.0446666666667,37.437,62.175,6.5275,7.76033333333333,5.72668333333333,10.18,0.14,0.111666666666667,0.03,18.2,18.4,18.8,10.18,2017-10-29,10.18,"Quinn"
