!datetime	Flow_metersCubedPerSecond	Water_Temperature_celsius	Salinity_practicalSalinityUnits
2020-10-16 00:00:00	76.8	13.933333	0
2020-10-17 00:00:00	70.8	13.441667	0
2020-10-18 00:00:00	115	13.225	0
2020-10-19 00:00:00	81.4	12.875	0
2020-10-20 00:00:00	82.2	12.4375	0
2020-10-21 00:00:00	85	12.454167	0
2020-10-22 00:00:00	111	12.266667	0
2020-10-23 00:00:00	297	11.970833	0
2020-10-24 00:00:00	435	11.6375	0
2020-10-25 00:00:00	286	11.245833	0
2020-10-26 00:00:00	146	10.866667	0
2020-10-27 00:00:00	98.5	10.758333	0
2020-10-28 00:00:00	116	10.3875	0
2020-10-29 00:00:00	114	10.0875	0
2020-10-30 00:00:00	90	9.8625	0
2020-10-31 00:00:00	69.5	9.6875	0
2020-11-01 00:00:00	128	9.4625	0
2020-11-02 00:00:00	87.3	8.9625	0
2020-11-03 00:00:00	93.4	8.8916667	0
2020-11-04 00:00:00	92.5	9.0875	0
2020-11-05 00:00:00	93.4	9.6083333	0
2020-11-06 00:00:00	81.6	9.65	0
2020-11-07 00:00:00	83.6	9.4708333	0
2020-11-08 00:00:00	97.2	9.5666667	0
2020-11-09 00:00:00	72.4	9.8666667	0
2020-11-10 00:00:00	59.7	9.9875	0
2020-11-11 00:00:00	237	9.8083333	0
2020-11-12 00:00:00	168	9.6375	0
2020-11-13 00:00:00	115	9.4416667	0
2020-11-14 00:00:00	98.5	9.0708333	0
2020-11-15 00:00:00	99.1	8.9208333	0
2020-11-16 00:00:00	147	8.4583333	0
2020-11-17 00:00:00	105	8.0791667	0
2020-11-18 00:00:00	56.3	7.85	0
2020-11-19 00:00:00	147	7.7666667	0
2020-11-20 00:00:00	114	7.6708333	0
2020-11-21 00:00:00	102	7.62	0
