!datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Surface_Level_Barometric_Pressure_pascal	Air_Temperature_celsius	Relative_Humidity_percent	Cloud_Cover_decimalFraction	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerSecond
2020-01-06 19:00:00	3.5420333	0	98577.781	-1.2299866	78.648044	0.76655304	0	0
2020-01-06 20:00:00	3.5954695	0	98564	-1.2500061	77.666153	0.7261393	0	0
2020-01-06 21:00:00	3.670436	0	98550.32	-1.2599854	76.62781	0.68572557	0	0
2020-01-06 22:00:00	3.9397462	0	98477.477	-1.2699951	76.571151	0.64531184	0	0
2020-01-06 23:00:00	4.2152699	0	98404.742	-1.2800049	76.523017	0.6048981	0	0
2020-01-07 00:00:00	4.4980217	0	98331.898	-1.2900146	76.460636	0.56448437	0	0
2020-01-07 01:00:00	4.5980104	0	98285.938	-1.2200073	75.611128	0.52407064	0	0
2020-01-07 02:00:00	4.6979676	0	98239.344	-1.1399902	74.705112	0.4836569	0	0
2020-01-07 03:00:00	4.8176861	0	98193.281	-1.0600037	73.819465	0.44324317	0	0
2020-01-07 04:00:00	4.7400949	0	98156.539	-1.130011	74.896808	0.40282944	0	0
2020-01-07 05:00:00	4.8165654	0	98119.156	-1.1900085	75.926582	0.36241571	0	0
2020-01-07 06:00:00	5.0496734	0	98082.32	-1.2500061	76.972458	0.32200197	0	0
2020-01-07 07:00:00	4.6091321	0	98130.961	-1.4100098	77.163552	0.28158824	0	0
2020-01-07 08:00:00	4.442083	0	98178.859	-1.5600037	77.291144	0.24117451	48.759998	0
2020-01-07 09:00:00	4.5887799	0	98227.398	-1.7200073	77.470076	0.20076077	195.45599	0
2020-01-07 10:00:00	4.6395367	0	98233.961	-1.0400146	72.270689	0.16034704	297.35999	0
2020-01-07 11:00:00	4.7497896	0	98240.758	-0.35001221	67.363805	0.30982337	380.14801	0
2020-01-07 12:00:00	4.9254643	0	98247.797	0.33001099	62.828246	0.62197251	365.60501	0
2020-01-07 13:00:00	5.2667732	0	98286.203	0.36998901	61.67038	0.6398444	334.75299	0
2020-01-07 14:00:00	5.6155678	0	98325.242	0.40999756	60.515739	0.67547354	281.129	0
2020-01-07 15:00:00	5.9706781	0	98363.641	0.4500061	59.366155	0.94182741	124.112	0
2020-01-07 16:00:00	6.2035472	0	98359.82	-0.12000122	61.406361	1	47.216	0
2020-01-07 17:00:00	6.4677738	0	98356.344	-0.69000854	63.517319	0.9554506	0	0
2020-01-07 18:00:00	6.7693206	0	98352.758	-1.2599854	65.7178	0.9109012	0	0
2020-01-07 19:00:00	6.7510073	0	98374.203	-2.3400024	66.208555	0.8663518	0	0
2020-01-07 20:00:00	6.8844752	0	98395.539	-3.4100098	66.32586	0.82180239	0	0
2020-01-07 21:00:00	7.1440044	0	98417.523	-4.4899963	66.108031	0.77725299	0	0
2020-01-07 22:00:00	7.0718101	0	98438.578	-5.4100098	65.912249	0.73270359	0	0
2020-01-07 23:00:00	6.9973209	0	98459.539	-6.3200134	65.338092	0.68815419	0	0
2020-01-08 00:00:00	6.9407564	0	98480.602	-7.2399963	64.421108	0.64360479	0	0
2020-01-08 01:00:00	7.1936085	0	98599.344	-8.1799988	63.429956	0.59905539	0	0
2020-01-08 02:00:00	7.4636253	0	98718.078	-9.1200012	61.940552	0.55450598	0	0
2020-01-08 03:00:00	7.7363816	0	98836.82	-10.060004	59.873294	0.50995658	0	0
2020-01-08 04:00:00	7.0294309	0	98966.438	-10.66001	60.221424	0.46540718	0	0
2020-01-08 05:00:00	6.3551714	0	99095.961	-11.259985	60.44397	0.42085778	0	0
2020-01-08 06:00:00	5.7224207	0	99225.477	-11.859991	60.563841	0.37630838	0	0
2020-01-08 07:00:00	5.0012	0	99338.977	-12.130011	59.723648	0.33175898	0	0
2020-01-08 08:00:00	4.296615	0	99453.023	-12.4	58.828671	0.28720957	51.992001	0
2020-01-08 09:00:00	3.5876594	0	99566.422	-12.669989	57.86941	0.24266017	199.37601	0
2020-01-08 10:00:00	2.8675426	0	99557.297	-11.870001	53.736414	0.19811077	303.20001	0
2020-01-08 11:00:00	2.2193919	0	99548.078	-11.060004	49.846163	0.32175028	387.69501	0
2020-01-08 12:00:00	1.7262677	0	99539.297	-10.250006	46.287844	0.52297643	408.92599	0
2020-01-08 13:00:00	1.7557335	0	99471.023	-9.5600037	44.845755	0.55030482	374.78601	0
2020-01-08 14:00:00	2.0564289	0	99403.281	-8.8700012	43.42388	0.59379211	315.32001	0
2020-01-08 15:00:00	2.5477832	0	99334.898	-8.1799988	42.053398	0.91424599	137.36	0
2020-01-08 16:00:00	2.817836	0	99401.898	-8.0199951	43.498986	0.99226469	53.312	0
2020-01-08 17:00:00	3.5453914	0	99469.242	-7.8599915	44.901123	0.98808942	0	0
2020-01-08 18:00:00	4.498811	0	99536.383	-7.6999878	46.260529	0.98391415	0	0
2020-01-08 19:00:00	5.2800189	0	99451.297	-7.7299866	49.409964	0.97973888	0	0
2020-01-08 20:00:00	6.0545023	0	99366.219	-7.7500061	52.560437	0.97556361	0	0
2020-01-08 21:00:00	6.8320421	0	99281.781	-7.7699951	55.682923	0.97138834	0	0
2020-01-08 22:00:00	6.8860005	0	99228.578	-7.4400085	58.835335	0.96721307	0	0
2020-01-08 23:00:00	6.9400287	0	99176.117	-7.1000122	61.749672	0.9630378	0	0
2020-01-09 00:00:00	6.9941263	0	99122.82	-6.7699951	64.505232	0.95886253	0	0
2020-01-09 01:00:00	7.1936987	0	98979.156	-6.419989	65.464907	0.95468726	0	0
2020-01-09 02:00:00	7.4176342	0	98835.5	-6.0600037	66.29119	0.95051199	0	0
2020-01-09 03:00:00	7.6701042	0	98691.938	-5.7099976	67.057286	0.94633672	0	0
2020-01-09 04:00:00	7.604275	0	98596.844	-5.2999939	70.165792	0.94216145	0	0
2020-01-09 05:00:00	7.56164	0	98501	-4.8899902	73.017163	0.93798618	0	0
2020-01-09 06:00:00	7.5579429	0	98406	-4.4799866	75.630543	0.93381091	0	0
2020-01-09 07:00:00	7.3553246	0	98321.156	-3.8700012	78.110619	0.92963564	0	0
2020-01-09 08:00:00	7.1752141	0	98236.422	-3.2599854	80.2175	0.92546037	48.728001	0
2020-01-09 09:00:00	7.0156682	0	98152.219	-2.6399902	81.919742	0.9212851	71.552002	0
2020-01-09 10:00:00	7.3104377	0	98047.062	-1.2299866	81.006582	0.99575089	108.752	3.5777779e-11
2020-01-09 11:00:00	7.6923663	0	97942.242	0.17998657	79.537141	1	139.07401	0
2020-01-09 12:00:00	8.1551519	0	97837.219	1.6	77.607355	1	161.42999	0
2020-01-09 13:00:00	8.0610487	0	97846.781	2.369989	76.376436	1	148.105	0
2020-01-09 14:00:00	8.0416538	0	97856.438	3.1400085	75.077987	1	124.833	0
2020-01-09 15:00:00	8.0962214	0	97866	3.8999878	73.776209	0.98623954	107.712	0
2020-01-09 16:00:00	7.6580023	0	97873.977	3.6799866	78.457928	1	42.624001	0
2020-01-09 17:00:00	7.2629058	0	97882.5	3.4699951	83.208508	0.96443238	0	0
2020-01-09 18:00:00	6.9362884	0	97890.281	3.2499939	88.15449	0.92886476	0	0
2020-01-09 19:00:00	5.8910866	0	97976.922	3.1899963	90.247837	0.89329714	0	0
2020-01-09 20:00:00	4.880369	0	98062.922	3.1299988	92.359939	0.85772952	0	0
2020-01-09 21:00:00	3.9457572	0	98149.461	3.080011	94.422815	0.8221619	0	0
2020-01-09 22:00:00	3.3481936	0	98127.156	2.6299988	95.059988	0.78659428	0	0
2020-01-09 23:00:00	2.8744566	0	98104.859	2.1899963	95.588985	0.75102666	0	0
2020-01-10 00:00:00	2.5811818	0	98082.023	1.7499939	96.068489	0.71545904	0	0
